Page,Section,EnglishCommon,LatinSpecies,Length,AbundancePercentage,Voice,Comment
271,Passerines,Pied Flycatcher,Ficedula hypoleuca,12-13cm,15,"Utters a sharp ""plit"" call repeatedly when alarmed. Song is sweet and ringing.",
272,Passerines,Dipper,Cinclus cinclus,18cm,13,"Utters a shrill ""striitz"" call.",
273,Passerines,Wheatear,Oenanthe oenanthe,14-16cm,20,"Utters a sharp and distinctive ""chak"" alarm call, like 2 pebbles being knocked together. Song is fast and warbling.",
274,Passerines,Robin,Erithacus rubecula,13-14cm,68,"Most vocal in spring but its rather plaintive, melancholy song can be heard in almost any month. Alarm call is a sharp ""ic"".",
275,Passerines,Nightingale,Luscinia megarhynchos,16-17cm,16,"Song is rich and varied, and includes fluty whistles and clicking sound; typically starts with a rich, whistling ""tu-tu-tu-tu"", before embarking on its more complex repertoire. Call is a frog-like croak.",
276,Passerines,Black Redstart,Phoenicurus ochruros,14cm,4,"Utters a whistling ""svit"", or ""svit-it-it""call. Song comprises various whistles and curious crackling, static-like phrases.",
277,Passerines,Redstart,Phoenicurus phoenicurus,14cm,15,"Utters a soft ""huiit-tut-tut"" call and a sharp ticking when alarmed. Song is tuneful but melancholy.",
278,Passerines,Whinchat,Saxicola rubetra,12-14cm,7,"Utters a whistling ""whic-tuc"" alarm call. Song is rapid and warbling.",
279,Passerines,Stonechat,Saxicola rubicola,12-13cm,14,"Utters a harsh ""tchak"" call, like 2 pebbles being knocked together. Rapid, warbling song is rather Whitethroat-like.",
280,Passerines,House Sparrow,Passer domesticus,14-15cm,40,Utters a range of chirping calls.,
281,Passerines,Tree Sparrow,Passer montanus,13-14cm,14,"Utters House Sparrow-like chirps, but also a sharp ""tik-tik"" in flight.",
282,Passerines,Dunnock,Prunella modularis,13-14cm,50,"Song is energetic and warbler-like; alarm call is a thin, piping ""tseer"".",
283,Passerines,Pied Wagtail,Motacilla alba yarrellii,18cm,35,"Utters a loud ""chissick"" call.",mixes two subspecies
284,Passerines,Yellow Wagtail,Motacilla flava flavissima,16-17cm,13,"Utters a distinctive ""tsree-ee"" call.",
285,Passerines,Grey Wagtail,Motacilla cinerea,18cm,12,"Utters a sharp ""tip-tip"" call in flight.",
286,Passerines,Tree Pipit,Anthus trivialis,15cm,16,"Flight call is a buzzing ""spzzt"". Song (delivered in flight but starting from a tree perch) comprises an accelerating trill that ends with thin, drawn-out notes as the bird parachutes down, usually to a different tree-top perch.",
287,Passerines,Meadow Pipit,Anthus pratensis,14-15cm,32,"Utters a ""pseet-pseet-pseet"" and has a descending song delivered in flight, but that typically starts and ends on the ground.",
288,Passerines,Rock Pipit,Anthus petrosus,16-17cm,23,"Utters a single ""pseet"" call, and has a Meadow Pipit-like song that is delivered in flight but starts and ends on a cliff-side rocky outcrop.",
289,Passerines,Water Pipit,Anthus spinoletta,16-17cm,3,"Utters a single ""pseet"" call.",
290,Passerines,Chaffinch,Fringilla coelebs,15cm,71,"Utters a distinct ""pink pink"" call. Song comprises a descending trill with a characteristic final flourish.",
291,Passerines,Brambling,Fringilla montifringilla,14-15cm,7,"Calls include a harsh, nasal ""jseeerrp"". Song (seldom heard here) comprises a series of buzzing notes.",
292,Passerines,Greenfinch,Chloris chloris,14-15cm,36,"Utters a sharp ""jrrrup"" call in flight. Song either comprises well-spaced wheezy ""weeeish"" phrases or a series of rapid, trilling whistles, sometimes delivered in flight.",
293,Passerines,Goldfinch,Carduelis carduelis,12cm,44,"Utters a tinkling, trisyllabic call. Song is twittering and rapid, containing call-like elements.",
294,Passerines,Linnet,Linaria cannabina,13-14cm,28,"Utters a distinctive ""tetter-tett"" call. Male's twittering, warbling song is usually delivered from a prominent perch.",
295,Passerines,Twite,Linaria flavirostris,13-14cm,13,"Utters a characteristic, sharp, nasal, twanging ""tveeht"" call. Song comprises a series of trilling and rattling notes.",
296,Passerines,Siskin,Spinus spinus,11-12cm,15,"Utters disyllabic whistling or twittering ""speeoo"" calls. Song comprises a series of twittering, almost warbling, phrases.",
297,Passerines,Bullfinch,Pyrrhula pyrrhula,16-17cm,24,"Utters a distinctive monosyllabic soft, piping ""pew"" call, sometimes delivered in a duet by a pair. The quiet song, which is seldom heard, comprises slow, fluty notes.",
298,Passerines,Lesser Redpoll,Acanthis cabaret,12-14cm,10,"Utters a rattling ""chek-chek-chek"" call in flight. Song comprises a series of wheezing and rattling notes.",
299,Passerines,Common Redpoll,Acanthis flammea,12-14cm,3,"Utters a rattling ""chek-chek-chek"" call in flight. Song comprises a series of wheezing and rattling notes.",
300,Passerines,Common Crossbill,Loxia curvirostra,15-17cm,8,"Utters a sharp ""kip-kip-kip"" flight call.",
301,Passerines,Scottish Crossbill,Loxia scotica,15-17cm,NA,"Utters a sharp ""kip-kip-kip"" flight call, similar to, but slightly deeper than, that of Common Crossbill.",
302,Passerines,Hawfinch,Coccothraustes coccothraustes,17-18cm,5,"Utters a sharp, almost Robin-like ""tsic"" call. Song is quiet and subdued, and is seldom heard.",
303,Passerines,Reed Bunting,Emberiza schoeniclus,14-15cm,24,"Utters a thin ""seeu"" call. Song is simple, chinking and repetitive.",
304,Passerines,Snow Bunting,Plectrophenax nivalis,16-17cm,10,"Utters a rolling ""prrrt"" call in flight. Song is twittering but tone is clearly bunting-like.",
305,Passerines,Lapland Bunting,Calcarius lapponicus,14-16cm,7,"Utters a distinctive rattling ""tiddlip-tew"" call in flight.",
306,Passerines,Yellowhammer,Emberiza citrinella,15-17cm,27,"Utters a rasping ""zit"" call. Song is often rendered as *a little bit of bread and no cheese*.",
307,Passerines,Cirl Bunting,Emberiza cirlus,16-17cm,30,"Utters a sharp ""tziip"" call. Song is a rather tuneless rattle, reminiscent of that of Lesser Whitethroat.",
308,Passerines,Corn Bunting,Emberiza calandra,16-18cm,9,"Utters a ""tsit"" call. Jingling song has been likened to jangling keys, and is usually sung from a fencepost or overhead wire.",
