Page,Section,Family,EnglishCommon,LatinSpecies,Length,Voice,Comments
182,Kingfishers,Alcedinidae,Kingfisher,Alcedo atthis,18,"Call is a high, ringing repetition of ""cheer"" notes.",
182,Kingfishers,Alcedinidae,Pied Kingfisher,Ceryle rudis,25,Call is short and penetrating.,
184,Bee-eaters,Meropidae,Bee-eater,Merops apiaster,28,"Call is a characteristic far-reaching ""pruik"", often repeated and mostly given in flight.",
184,Bee-eaters,Meropidae,Blue-cheeked Bee-eater,Merops sperciliosus,31,Call resembles that of Bee-eater but is shriller and not as far-reaching.,
184,Rollers,Coraciidae,Roller,Coracias garrulus,31,"Call is a loud, crow-like ""kraack"".",
184,Hoopoes,Upupidae,Hoopoe,Upupa epops,28,"Call is a characteristic deep ""hoo-poo-poo"".",
186,Woodpeckers,Picidae,Green Woodpecker,Picus viridis,30,Call is a far-reaching laughing cry. Seldom drums.,
186,Woodpeckers,Picidae,Grey-headed Woodpecker,Picus canus,26,"Call resembles that of Green Woodpecker, but is not as harsh and dies away slowly. Unlike Green Woodpecker, it drums frequently.",
188,Woodpeckers,Picidae,Great Spotted Woodpecker,Dendrocopos major,23,"Call is a loud, short ""kik"". Often drums; drumming is very fast and short (0.5 sec.).",
188,Woodpeckers,Picidae,Syrian Woodpecker,Dendrocopos syriacus,23,"In call, drumming and behaviour like Great Spotted Woodpecker.",
188,Woodpeckers,Picidae,Middle Spotted Woodpecker,Dendrocopos medius,20,"In mating season it has a distinct slow cry ""gait-gait"". Does not drum as often as Great Spotted Woodpecker and drumming is weak.",
188,Woodpeckers,Picidae,Lesser Spotted Woodpecker,Dendroopos minor,15,"Call is a repetition of high-pitched ""kee"" notes. Drums frequently, but a little less powerfully than Great Spotted, often weaker in the middle and usually longer (1.5 sec.).",
190,Woodpeckers,Picidae,White-backed Woodpecker,Dendrocopos leucotos,25,Call is similar to that of Great Spotted Woodpecker. Drumming resembles Three-toed Woodpecker but becomes weaker and faster at the end.,
190,Woodpeckers,Picidae,Three-toed Woodpecker,Picoïdes tridactylus,23,"Call is rather similar to that of the Great Spotted Woodpecker. Drumming is stronger, slower and longer (1.5 sec.) than Great Spotted Woodpecker.",
190,Woodpeckers,Picidae,Black Woodpecker,Dryocopus martius,46,"Call is a far-reaching ringing ""kleo"". Drums commonly and extremely loudly, drums lasting two to three seconds accelerating slightly towards the end.",
190,Woodpeckers,Picidae,Wryneck,Jynx torquilla,18,"Call is a repetition of nasal crying ""gyeeh"" notes. Does not drum.",
194,Larks,Alaudidae,Dupont's Lark,Chersophilus duponti,18,"Song, given in flight, contains rasping notes.",
194,Larks,Alaudidae,Short-toed Lark,Calandrella cinerea,14,"The call has been described as a short ""tchirrup"".",
194,Larks,Alaudidae,Lesser Short-toed Lark,Calandrella rufescens,14,"Song, given in high circling flight, is rich and varied with characteristic short notes. The call has been described as a more protracted ""prrit"".",
194,Larks,Alaudidae,Calandra Lark,Melanocorypha calandra,20,"Call is short and nasal. Song musical, resembling that of Skylark, usually uttered on the wing from a height.",
196,Larks,Alaudidae,White-winged Lark,Melancorypha leucoptera,19,"Song is loud, resembling Calandra Lark's.",
196,Larks,Alaudidae,Black Lark,Melanocorypha yeltoniensis,20,Song resembles that of Calandra Lark.,
196,Larks,Alaudidae,Crested Lark,Galerida cristata,17,"Call is a characteristic ""dee-dee-doo"". Song resembles that of Skylark but is shorter and less melodious. Usually delivered from the ground or from low perch on rock.",
196,Larks,Alaudidae,Thekla Lark,Galerida theklae,15,"(...), from which song resembling that of Crested Lark is given.",
198,Larks,Alaudidae,Skylark,Alauda arvensis,18,"Call is melodious ""treek-e"". Song, usually give from flight high-up, is liquid, varied and sustained.",
198,Larks,Alaudidae,Woodlark,Lullula arborea,15,"Call is a musical, liquid ""diedelie"". Skylark-like song, which is sometimes given from perch but more often in flight, is characterised by interspersed trilling ""lu-lu-lu-lu-lu"". Sometimes sings at night.",
198,Larks,Alaudidae,Shore Lark,Eremophila alpestris,17,"Call consists of faint pipit-like notes. Song, which is given from perch or in flight, is weak, high-pitched and repetitive.",
200,Swallows,Hirundinidae,Sand Martin,Riparia riparia,13,"Call is a low, unmusical buzz.",
200,Swallows,Hirundinidae,Crag Martin,Ptyonoprogne rupestris,15,"Call is a high-pitched, weak ""tchnin"", only rarely heard.",
200,Swallows,Hirundinidae,Swallow,Hirundo rustica,19,Song is long and twittering.,
200,Swallows,Hirundinidae,Red-rumped Swallow,Hirundo daurica,18,Song resembles that of Swallow.,
200,Swallows,Hirundinidae,House Martin,Delichon urbica,13,Flight call sharp and high pitched. Song twittering.,
202,Pipits and wagtails,Motacillidae,Tree Pipit,Anthus trivialis,15,"Call note is a characteristic coarse ""tzee"". Song, which is given from perch or more often in short song-flight with slow descent, is canary-like, ending with a repeated ""zeea"".",
202,Pipits and wagtails,Motacillidae,Olive-backed Pipit,Anthus hodgsoni,15,"Song, given from perch, is not as varied as that of the Tree Pipit and is higher pitched.",
202,Pipits and wagtails,Motacillidae,Pechora Pipit,Anthus gustavi,15,"Call is a characteristic hard ""pipit"", usually repeated three times. Song, given from perch or song-flight, consists of Wood-Warbler-like phrase followed by low warble.",
202,Pipits and wagtails,Motacillidae,Richard's Pipit,Anthus novaeseelandiae,18,"Call is rather harsh ""r-reep"".",
204,Pipits and wagtails,Motacillidae,Meadow Pipit,Anthus pratensis,15,"Call is a thin ""zeep"", very different from that of Tree Pipit and Red-throated Pipit. Song, usually given in song-flight, is weak, ending in a trill.",
204,Pipits and wagtails,Motacillidae,Tawny Pipit,Anthus campestris,17,"As in other pipits voice is of great importance in identification. Call is drawn out or of two notes. Song is a repeated ""tsili"", given in flight or on the ground.",
204,Pipits and wagtails,Motacillidae,Red-throated Pipit,Anthus cervinus,15,"Call is ""tseeh"", quite different from that of Meadow and Tree Pipit. Song resembles that of Meadow Pipit and is given in flight.",
204,Pipits and wagtails,Motacillidae,Water Pipit,Anthus spinoletta spinoletta,17,Call and song more metallic than those of Meadow Pipit.,
204,Pipits and wagtails,Motacillidae,Rock Pipit,Anthus spinoletta (petrosus group),17,Call and song similar to those of Water Pipit.,
206,Pipits and wagtails,Motacillidae,Yellow Wagtail,Motacilla flava,17,"Call is loud mellow ""tseep"".",
206,Pipits and wagtails,Motacillidae,Citrine Wagtail,Motacilla citreola,17,"Call shorter than that of Yellow Wagtail described as a harsh ""dzeep"".",
208,Pipits and wagtails,Motacillidae,Grey Wagtail,Motacilla cinerea,18,"Call resembles that of Pied and White Wagtail, but is higher pitched and shorter. Song, seldom heard, is twittering.",
208,Pipits and wagtails,Motacillidae,White Wagtail,Motacilla alba alba,18,"Flight very undulating. Call is two-syllable ""tsweep"". Song, which is seldom heard, is twittering.",
208,Pipits and wagtails,Motacillidae,Pied Wagtail,Motacilla alba yarrellii,18,Voice and behaviour similar to White Wagtail.,
210,Shrikes,Laniidae,Red-backed Shrike,Lanius collurio,18,"Call is grating ""chaek"". Song, seldom heard, is an attractive warbled medley.",
210,Shrikes,Laniidae,Masked Shrike,Lanius nubicus,20,Call is harsh. Song is subdued and monotonous.,
210,Shrikes,Laniidae,Woodchat Shrike,Lanius senator,18,Call is harsh. Song is subdued and monotonous.,
210,Shrikes,Laniidae,Lesser Grey Shrike,Lanius minor,20,"Call is harsh ""chek"".",
210,Shrikes,Laniidae,Great Grey Shrike,Lanius excubitor,24,Call notes inlude shrill cries and rattles. Song is subdued with harsh notes interspersed.,
212,Orioles,Oriolidae,Golden Oriole,Oriolus oriolus,24,"The simple song is a flute-like calling of its name: ""or-i-ole""; and it utters harsh, cat-like cries.",
212,Starlings,Sturnidae,Starling,Sturnus roseus,22,"Song is long, varied, with much mimicry. Call and flight call are squeaky.",
212,Starlings,Sturnidae,Spotless Starling,Sturnus vulgaris,22,Song resembles that of Starling but is more powerful.,
212,Waxwings,Bombycillidae,Waxwing,Sturnus unicolor,18,"Call is trilling ""shree"".",
214,Crows and allies,Corvidae,Siberian Jay,Perisoreus infaustus,28,"Call is loud, nasal ""pee-ach"".",
214,Crows and allies,Corvidae,Jay,Garrulus glandarius,36,"Quite noisy, the call is an unmelodious ""skaaak"".",
214,Crows and allies,Corvidae,Azure-winged Magpie,Cyanopica cyana,36,"Flight is like Magpie's but not as heavy. Call is unmelodious ""kree-eek"".",
214,Crows and allies,Corvidae,Magpie,Pica pica,46,"Call is fast, harsh chatter.",
216,Crows and allies,Corvidae,Nutcracker,Nucifraga caryocatactes,33,"Call is raucous ""grair"".",
216,Crows and allies,Corvidae,Chough,Pyrrhocorax pyrrhocorax,38,"Call is high-pitched ""kiah"" resembling Jackdaw, and other shrill, unmusical notes.",
216,Crows and allies,Corvidae,Alpine Chough,Pyrrhocorax graculus,38,"Calls include loud, weird trills.",
216,Crows and allies,Corvidae,Jackdaw,Corvus monedul,33,"Call is rather high-pitched nasal ""jack"", often repeated.",
218,Crows and allies,Corvidae,Rook,Corvus frugilegus,46,Call is more nasal but less harsh than Crow's.,
218,Crows and allies,Corvidae,Raven,Corvus corax,64,Call is a very deep and hoarse croak.,
220,Dippers,Cinclidae,Dipper,Cinclus cinclus,18,"Call is short ""zirb"". Song, which can be heard even in winter, resembles that of Wren with grating notes.",
220,Wrens,Troglodytidae,Wren,Troglodytes troglodytes,10,"Call is harsh and grating. Song is rapid succession of very high, clear notes and trills.",
220,Accentors,Prunellidae,Alpine Accentor,Prunella collaris,18,Call is a short vibrating trill. Warbling song is given from ground or in song-flight.,
220,Accentors,Prunellidae,Dunnock,Prunella modularis,15,"Song is short, high-pitched tingling usually from exposed perch.",
224,Warblers and allies,Muscicapidae,Cetti's Warbler,Cettia cetti,14,"Call is a short ""teck"". Song, which starts and ends abruptly, is very loud and consists of repeated variations of ""cheeweewee"", given from well-hiden perch.",
224,Warblers and allies,Muscicapidae,Savi's Warbler,Locustella luscinioides,14,"Call is a subdued ""tsek"". Song resembles that of Grasshopper Warbler but is shorter, deeper and with a much higher frequency. Song is more monotonous than that of River Warbler, which is broken up into short sections. Song often starts slowly. Sings from exposed perch in reeds or bushes.",
224,Warblers and allies,Muscicapidae,River Warbler,Locustella fluviatilis,13,"Call is harsh. Song, which is given from exposed low perch, is trilling, resembling Grasshopper Warbler, but with individual notes clearly separated. Less monotonous, more broken, than that of Grasshopper and Savi's Warbler's. Sings mostly at dusk, even at night.",
224,Warblers and allies,Muscicapidae,Paddyfield Warbler,Acrocephalus agricola,13,"Call is described as ""schick"". Song resembles that of Marsh Warbler.",
226,Warblers and allies,Muscicapidae,Pallas's Grasshopper Warbler,Locustella certhiola,13,Sharp two-note call.,
226,Warblers and allies,Muscicapidae,Grasshopper Warbler,Locustella naevia,13,"Call is short ""tirk"". Song, given mostly at dusk and dawn, from low perch which it leaves at the least disturbance, is a characteristic high-pitched, fast trilling sustained for very long periods, often appearing to vary in volume as the bird turns its head. Savi's Warbler has somewhat similar song, but it is shorter, deeper in tone and of higher frequency. Song of River Warbler is not as monotonous as it is broken up into short sections.",
228,Warblers and allies,Muscicapidae,Moustached Warbler,Acrocephalus melanopogon,13,"Song is rapid and varied, resembling that of Sedge Warbler, but includes Nightingale-like ""too-too-too-too"" notes, which are not present in song of Sedge Warbler.",
228,Warblers and allies,Muscicapidae,Sedge Warbler,Acrocephalus schoenobaenus,13,"Song, which is delivered from perch or almost vertical songflight, is varied (more so than that of Reed Warbler), repetitive, rapid, and interspersed with many harsh notes.",
228,Warblers and allies,Muscicapidae,Fan-tailed Warbler,Cisticola juncidis,10,"Song consists of weak repeated ""zit"" uttered in flight.",
230,Warblers and allies,Muscicapidae,Blyth's Reed Warbler,Acrocephalus dumetorum,13,Song resembles Marsh Warbler's but is even more musical and often given from high perch. It is delivered at a more leisurely pace than that of Marsh Warbler. Like the Marsh Warbler it is an expert mimic.,
230,Warblers and allies,Muscicapidae,Reed Warbler,Acrocephaus scirpaceus,13,"Song is varied and musical, with repetition of same notes several times, but contains harsh chattering notes. It is not as rapid and varied as that of the Sedge Warbler. Like others of the Acrocephalus group it imitates other bird-songs. Sings normally from perch.",
230,Warblers and allies,Muscicapidae,Great Reed Warbler,Acrocephalus arundinaceus,19,"Song loud and strident with characteristic ""car"" and ""cier"" notes. Sings from exposed perch on reed.",
232,Warblers and allies,Muscicapidae,Icterine Warbler,Hippolais icterina,13,"Call is short metallic ""teck"". Song is varied and sustained but includes many discordant notes.",
232,Warblers and allies,Muscicapidae,Melodious Warbler,Hippolais polyglotta,13,"Song is faster, with fewer discordant notes than that of Icterine.",means Icterine Warbler here
232,Warblers and allies,Muscicapidae,Olive-tree Warbler,Hippolais olivetorum,15,"Song is loud and slow, resembling that of Great Reed Warbler, and is thrush-like in quality.",
232,Warblers and allies,Muscicapidae,Olivaceous Warbler,Hippolais pallida,13,"Song resembles that of Sedge Warbler, rapid with grating notes.",
232,Warblers and allies,Muscicapidae,Booted Warbler,Hippolais caligata,11,Song resembles that of Sedge Warbler.,
234,Warblers and allies,Muscicapidae,Barred Warbler,Sylvia nisoria,15,"Call is grating ""tack"" resembling that of Garden Warbler, as does song which is given in short song-flight. The characteristic grating call is included in the song.",
234,Warblers and allies,Muscicapidae,Orphean Warbler,Sylvia hortensis,15,"Call is sharp ""tack"". Song is loud, thrush-like in the southeastern European subspecies S.h. crassirostris. In the south-western European subspecies S.h. hortensis the song is much more monotonous, consisting of alternating high and low notes.",
234,Warblers and allies,Muscicapidae,Garden Warbler,Sylvia borin,14,"Song is musical, mellow and liquid, resembling that of Blackcap but longer and more subdued. Call is sharp ""tack"".",
234,Warblers and allies,Muscicapidae,Blackcap,Sylvia atricapilla,14,"Song is a short, mellow musical warble of rising strength, less subdued and uniformly liquid than that of Garden Warbler. Call is short mechanical ""tack"".",
236,Warblers and allies,Muscicapidae,Whitethroat,Sylvia communis,14,"Call is rasping ""tze"". Song, which is usually given from covered perch, is a fast, short, rather high-pitched warble. Usually sings longer into the summer than most warblers.",
236,Warblers and allies,Muscicapidae,Lesser Whitethroat,Sylvia curruca,13,"Call is a short ""tack"". Song, which is given from hidden perch or while moving about, consists of two parts. First a subdued warble, then a fast, rattling repetition of ""chik-ke"" notes.",
236,Warblers and allies,Muscicapidae,Rüppel's Warbler,Sylvia ruepelli,14,"Call is a loud ""chat"" repeated several times. Song resembles that of Sardinian Warbler but is not as hurried, although faster than that of the Dartford Warbler. It is delivered from perch or very high song-flight somewhat similar to that of Tree Pipit but more twisting.",
236,Warblers and allies,Muscicapidae,Sardinian Warbler,Sylvia melanocephala,13,"Call consists of loud chattering notes. Song, which is usually given in Whitethroat-like song-flight, is long, hurried and musical, interspersed with chattering notes.",
238,Warblers and allies,Muscicapidae,Ménétries' Warbler,Sylvia mystacea,13,"Call is sharp repeated ""tart"". Song resembles that of Whitethroat but is more musical and variable.",
238,Warblers and allies,Muscicapidae,Subalpine Warbler,Sylvia cantillans,13,"Call is short, sharp ""teck"". Song, often given in song-flight, is very musical, resembling that of Whitethroat without the harsh notes. Not as fast as that of Sardinian Warbler.",
238,Warblers and allies,Muscicapidae,Desert Warbler,Sylvia nana,11,"Call is short trill. Song is a low series of repeated ""tee"" notes.",
238,Warblers and allies,Muscicapidae,Spectactled Warbler,Sylvia conspicillata,13,"Call is rattling. Song is a short high-pitched, rather monotonous and deliberate warble given from exposed perch or long song-flight.",
240,Warblers and allies,Muscicapidae,Dartford Warbler,Sylvia undata,13,"Call consists of hard and loud ""chir"" and ""tuck"" notes. Song resembles that of Whitethroat but is feebler and includes fewer rasping notes. It consists of short phrases interrupted by pauses of varying length. Can be heard singing throughout the year. Song is not as rapid as that of Sardinian Warbler. Often given in short song-flight.",
240,Warblers and allies,Muscicapidae,Marmora's Warbler,Sylvia sarda,13,"Call is short ""tick"". Song, which is given in short song-flight, does not resemble that of Dartford Warbler, being more mellow, weaker and slurred.",
240,Warblers and allies,Muscicapidae,Rufous Bush Robin,Cercotrichas galactotes,15,"Call is a sharp ""tack"". Song consists of clear flute-like ascending notes given in an even rhythm. Given from open perch or song-flight. Sings persistently.",
242,Warblers and allies,Muscicapidae,Willow Warbler,Phylloscopus trochilus,11,"Call is plaintive ""fooeed"". Song is a musical, liquid and soft, descending warble.",
242,Warblers and allies,Muscicapidae,Chiffchaff,Phylloscopus collybita,11,"Call is plaintive ""hooeed"". Song is rather monotonous repeated ""chiff-chaff"", combined in various ways, sometimes with grating introductory notes.",
242,Warblers and allies,Muscicapidae,Wood Warbler,Phylloscopus sibilatrix,13,"Call is liquid ""diu"". Song, often given in song-flight, is characteristic series of ""sip"" notes repeated at an accelerating rate. Second song, often combined with the trill, is a series of lengthened call-notes.",
242,Warblers and allies,Muscicapidae,Green Warbler,Phylloscopus nitidus,11,Song resembles Willow Warbler's. Call is not as mellow as Willow Warbler's.,
242,Warblers and allies,Muscicapidae,Dusky Warbler,Phylloscopus fuscatus,11,"Call is described as ""tak"".",
244,Warblers and allies,Muscicapidae,Bonelli's Warbler,Phylloscopus bonelli,11,"Call is a rather plaintive ""hoo-eet"". Song resembles trill of Wood Warbler but is not accelerated. It consists of two different phrases of different pitch and length.",
244,Warblers and allies,Muscicapidae,Yellow-browed Warbler,Phylloscopus inornatus,10,"Call resembles that of Willow Warbler but is more high-pitched and sharp, sometimes consisting of two syllables: ""weeesp"".",
244,Warblers and allies,Muscicapidae,Arctic Warbler,Phylloscopus borealis,12,"Call is metallic ""zick"". Song is short, high trill.",
244,Warblers and allies,Muscicapidae,Greenish Warbler,Phylloscopus trochiloides,11,"Call is a high-pitched ""tsi-lee"". Song is short and loud, starting with a few calls, then merging with a trill followed by a short high-pitched warble.",
246,Warblers and allies,Muscicapidae,Pallas's Warbler,Phylloscopus proregulus,9,"Call is a high-pitched ""tweet"", quite unlike any call of Goldcrest or Firecrest.",
246,Warblers and allies,Muscicapidae,Goldcrest,Regulus regulus,9,Call is extremely thin and high-pitched. Song is of similar quality ending in short warble.,
246,Warblers and allies,Muscicapidae,Firecrest,Regulus ignicapillus,9,"Call is less high-pitched than that of Goldcrest and song is a monotonous, accelerating repetition of ""zis"" notes.",
248,Flycatchers,Muscicapidae,Pied Flycatcher,Ficedula hypoleuca,13,"Call a short ""wit"", emphasised when alarmed. Song rather unmelodious but variable stream of ""cher"" notes.",
248,Flycatchers,Muscicapidae,Collared Flycatcher,Ficedula albicollis,13,"Song is a repeated ""zoet"". Call is a hard ""teck"".",
248,Flycatchers,Muscicapidae,Red-breasted Flycatcher,Ficedula parva,12,Call is chattering but soft. Song is loud and trilling reminiscent of Willow Warbler's.,
248,Flycatchers,Muscicapidae,Spotted Flycatcher,Muscicapa striata,14,"Call is a sharp ""zit"". Song is a repetition of three or four call notes, mainly heard soon after arrival in spring.",
250,Wheatears,Muscicapidae,Wheatear,Oenanthe oenanthe,15,"Call is a hard ""tack"". Song, given from perch or short song-flight, is a short warble of lark-like quality.",
250,Wheatears,Muscicapidae,Isabelline Wheatear,Oenanthe isabellina,16,"Call is loud, metallic, piping ""wheet"". Song contains whistling notes. Often imitates other birds.",
252,Wheatears,Muscicapidae,Pied Wheatear,Oenanthe pleschanka,15,"Call is hard ""tack"". Song is lark-like with whistling notes, given in phrases of varying length, usually from perch or song-fligh.",
252,Wheatears,Muscicapidae,Black-eared Wheatear,Oenanthe hispanica,15,"Call consists of hard ""tack"", usually followed by a whistling note. Song, which is given from perch or song-flight and rather more often than Wheatear's, resembles Wheatear's but is louder and higher pitched. Sometimes imitates the song of other species.",
252,Wheatears,Muscicapidae,Desert Wheatear,Oenanthe deserti,15,Call is hoarse whistle.,
252,Wheatears,Muscicapidae,Black Wheatear,Oenanthe leucura,18,"Call is a high-pitched ""pee-pee-pee-pee"". Song is rich, short warble resembling that of Blue Rock Thrush but not as loud.",
254,Wheatears,Muscicapidae,Whinchat,Saxicola rubetra,13,"Call starts with a musical ""due"", continuing with hard ""teck, teck"". Song, which is given from perch or song-flight, is a short, high-pitched warble, often with some notes imitating other birds.",
254,Wheatears,Muscicapidae,Stonechat,Saxicola torquata,13,"Call consists of ""teck"" notes. Song, which is given from perch or song-flight, consists of short, repeated, rather high-pitched notes.",
254,Wheatears,Muscicapidae,Rock Thrush,Monticola saxatilis,19,"Call is a short ""tack"". Song, which is given from open perch or in song-flight, is a musical, fluting warble, but is very variable.",
254,Wheatears,Muscicapidae,Blue Rock Thrush,Monticola solitarius,20,"Call is a hard ""tick"". Song is loud, musical and thrush-like. It is usually given from perch on rock or song flight.",
256,Wheatears,Muscicapidae,Redstart,Phoenicurus phoenicurus,14,"Call is plaintive ""fu-et"". Song is short, melodious Robin-like warble ending in a short twitter.",
256,Wheatears,Muscicapidae,Black Redstart,Phoenicurus ochruros,14,"Call is a series of ""tic"" notes. Song, usually given from perch on building or rock, is a short, fast, simple edition of that of Redstart, often ending with a peculiar rattle.",
256,Wheatears,Muscicapidae,Bluethroat,Luscinia svecica,14,"Call is a short ""tack"". Song, often given in song-flight, is varied, gentle, musical warbling, rather high-pitched.",
256,Wheatears,Muscicapidae,Robin,Erithacus rubecula,14,"Call is series of ""tic"" notes. Song, given from low perch, is series of fast, rather high-pitched, warbling notes, usually starting subdued.",
258,Wheatears,Muscicapidae,Red-flanked Bluetail,Tarsiger cyanurus,14,"Call is  short ""teck teck"". Song is very loud, musical and thrush-like.",
258,Wheatears,Muscicapidae,Nightingale,Luscinia megarhynchos,17,"Call is a liquid ""hu-eet"". Song is very loud and musical with characteristic deep ""jug"" notes and drawn-out ""pin""'s. Sings from depth of thickets, often at night.","made ""pin"" the onomatopeia and moved 's out of it as it seems to be there just for plural"
258,Wheatears,Muscicapidae,Thrush Nightingale,Luscinia luscinia,17,"Song resmbles that of Nightingale and is even louder, but less musical. Sings from well-hidden perch, often at night.",
258,Wheatears,Muscicapidae,Siberian Rubythroat,Luscinia calliope,14,Song is loud and musical.,
260,Thrushes,Muscicapidae,Grey-cheeked Thrush,Catharus minimus,19,"Call is a rather nasal ""vee-a"".",
260,Thrushes,Muscicapidae,Swainson's Thrush,Catharus ustulatus,8,"Call is a high-pitched ""whit"".",
260,Thrushes,Muscicapidae,Eye-browed Thrush,Turdus obscurus,19,Call resembles that of Song Thrush.,
260,Thrushes,Muscicapidae,Dusky Thrush,Turdus eunomus,24,Call resembles that of Fieldfare.,
260,Thrushes,Muscicapidae,Naumann's Thrush,Turdus naumanni,24,Call resembles that of Fieldfare.,
262,Thrushes,Muscicapidae,Ring Ouzel,Turdus torquatus,24,"Song, given from exposed perch, is usually a ringing ""tew tew tew"", but sometimes resembles that of Sog Thrush, though more monotonous and interspersed with short chuckling.",
262,Thrushes,Muscicapidae,Blackbird,Turdus merula,25,"Call is repeated ""chack"". Song is a musical, fluting warble. Sings from open perch at dusk and dawn.",
262,Thrushes,Muscicapidae,Black-throated Thrush,Turdus ruficollis atrogularis,24,Song resembles that of Song Thrush's.,
262,Thrushes,Muscicapidae,Siberian Thrush,Zoothera sibiricus,23,Call resembles that of Song Thrush.,
262,Thrushes,Muscicapidae,American Robin,Turdus migratorius,25,Behaviour and voice resemble those of Blackbird.,
262,Thrushes,Muscicapidae,Redwing,Turdus iliacus,20,"Call is penetrating, prolonged high-pitched ""zee-up"". Call is short repetition of flute-like notes followed by low, rather unmusical warble, but is very variable.",
262,Thrushes,Muscicapidae,Song Thrush,Turdus philomelos,23,"Call is a thin, short ""seep"". Song is flute-like and varied, tending to repeat short sections.",
262,Thrushes,Muscicapidae,Mistle Thrush,Turdus viscivorus,28,Call is characteristic dry rattling chatter with pauses between bursts. Song resembles Blackbird's but is briefer and less flute-like.,
262,Thrushes,Muscicapidae,Fieldfare,Turdus pilaris,25,"Call is loud ""schack, schack"". Song is twittering and often given in flight.",
262,Thrushes,Muscicapidae,White's Thrush,Zoothera dauma,28,Call piping.,
264,Tits,Paridae,Marsh Tit,Parus palustris,11,"Typical calls are loud ""pitchu"" and repeated, scolding ""tzee"". Usual song, a repeated ""tschuppi"".",
264,Tits,Paridae,Willow Tit,Parus montanus,11,"Call is a repeated nasal ""tchay"". Usual song is drawn-out ""tew tew tew"", but there is also an unexpected warbling song, seldom heard in some areas.",
264,Tits,Paridae,Sombre Tit,Parus lugubris,14,Call resembles that of Great Tit.,
264,Tits,Paridae,Siberia Tit,Parus cinctus,13,Call resembles that of Willow Tit but is even more drawn out.,
266,Tits,Paridae,Crestd Tit,Parus cristatus,11,Call is characteristic purring trill.,
266,Tits,Paridae,Blue Tit,Parus caeruleus,11,"Call varied, but most commonly a high-pitched ""zee"", often repeated several times and sometimes introducing trilling song.",
266,Tits,Paridae,Azure Tit,Parus cyanus,13,"Call ""tseerr"". Song is loud and trilling.",
266,Tits,Paridae,Coal Tit,Parus ater,11,"Call is a thin ""tset"", more plaintive than that of other tits. Song is a repeated ""weetse"".",
266,Tits,Paridae,Great Tit,Parus major,14,"Calls numerous, and usually stronger than those of other tits. Song is a very characteristic penetrating, metallic series of ""zee-de"" notes.",
268,Tits,Paridae,Long-tailed tit,Aegithalos caudatus,14,"Call is a repeated trilling ""tsimp"" and thin ""see-see-see"". Song, rarely heard, is a mixture of these notes.",
268,Bearded Tits,Muscicapidae,Bearded tit,Panurus biarmicus,16,"Call is a hard ""tink-tink"" like stones knocked together. Song twittering.",
268,Penduline Tits,Remizidae,Penduline tit,Remiz pendulinus,11,"Call is a drawn-out, sweet ""zee-eh"". Song is twittering, but it is quiet and only heard for a short time.",
272,Nuthatches,Paridae,Nuthatch,Sitta europaea,14,"Calls are tit-like. Typical song is a characteristic, repeated, musical ""tuueh"".",
272,Nuthatches,Paridae,Corsican Nuthatch,Sitta whiteheadi,11,Call is much more nasal and quieter than that of Nuthatch. Song consists of two phrases of different pitch.,
272,Nuthatches,Paridae,Rock Nuthatch,Sitta neumayer,14,"It has a large variety of calls. Song is a loud, descending trill.",
272,Nuthatches,Paridae,Krüper's Nuthatch,Sitta krueperi,13,"Call is a soft ""twit"".",
274,Wallcreepers,Paridae,Wallcreeper,Tichodroma muraria,17,"Call is thin and piping. Song is a repeated, accelerated and rising, high-pitched ""zee-zee-zee-tui"".",
274,Treecreeper,Certhiidae,Treecreeper,Certhia familiaris,13,"Call is a single very high note. Song is high, faint and accelerated.",
274,Short-toed Treecreeper,Certhiidae,Short-toed Treecreeper,Certhia brachydactyla,13,"Call is a firm ""zeet"". Song is more plaintive than that of Treecreeper, and may be delivered from exposed perch.",
276,Weaver finches,Ploceidae,House Sparrow,Passer domesticus,15,Calls and song consist of monotonous chirps.,
276,Weaver finches,Ploceidae,Spanish Sparrow,Passer hispaniolensis,15,Calls resemble that of House Sparrow's but richer.,
276,Weaver finches,Ploceidae,Tree Sparrow,Passer montanus,14,Calls resemble House Sparrow's but are higher-pitched and sharper.,
276,Weaver finches,Ploceidae,Rock Sparrow,Petronia petronia,14,"Many calls resemble House Sparrow's but has characteristic ""dui-ee"" call.",
278,Finches,Fringillidae,Chaffinch,Fringilla coelebs,15,"Song, given from rather exposed perch, is melodious, short rattling with many geographic variations. Flight call is a short ""juep juep"", and usual call a ringing ""pink"".",
278,Finches,Fringillidae,Brambling,Fringilla montifringilla,15,"Song is a rather monotonous repetition of Greenfinch-like calls, given from an exposed perch. Flight call is nasal ""tjaek, tjaek"" or ""chup-chup"".",
278,Finches,Fringillidae,Bullfinch,Pyrrhula pyrrhula,15,"Song, not well developed, is low, piping warble, but will learn to sing in captivity. Call is soft, melancholy ""peu, peu"".",
278,Finches,Fringillidae,Hawfinch,Coccothraustes coccothraustes,18,"Song is low and twittering, rarely heard. Call is metallic ""tpik"".",
280,Finches,Fringillidae,Citril Finch,Serinus citrinella,11,"Call is a plaintive but characteristic ""sit"". Song, often given in song-flight, resmbles that of Serin.",
280,Finches,Fringillidae,Serin,Serinus serinus,1,"Call is a varied twittering ""chirlit"". Song, which is given from high open perch or in song-flight, is a jingling, sibilant twitter. Very vocal.",
